Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Postman,Ministry of Education,12th Pass,26-36,1 years,Hyderabad,36093-62914 INR,26-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
IFS Officer,Ministry of Agriculture,B.Com,23-38,0 years,Chennai,36578-83547 INR,17-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Agriculture,MBBS,27-37,3 years,Chennai,39769-78868 INR,03-11-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Finance,B.Com,28-40,1 years,Bhopal,43068-76870 INR,15-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Senior Resident,Ministry of Environment,12th Pass,27-40,0 years,Kolkata,36730-66401 INR,11-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
SSC CGL Officer,Ministry of Health,M.Tech,21-37,5 years,Ranchi,34025-81736 INR,25-09-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Finance,Diploma,30-36,0 years,Bangalore,47123-79051 INR,18-09-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Postman,Ministry of Education,Master's Degree,25-40,5 years,New Delhi,38699-65933 INR,06-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Fireman,Ministry of Health,MBBS,29-35,5 years,Patna,34767-79227 INR,06-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Public Prosecutor,Ministry of Home Affairs,M.Sc,27-40,4 years,Ahmedabad,48949-69345 INR,03-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Veterinary Doctor,Ministry of Railways,M.Tech,24-39,3 years,Patna,41988-69525 INR,14-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
SSC CGL Officer,Ministry of Finance,MBBS,29-40,3 years,Guwahati,40820-74930 INR,27-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Home Affairs,Diploma,29-36,5 years,Ahmedabad,46813-68568 INR,11-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Postman,Ministry of Agriculture,B.Tech,22-39,1 years,Lucknow,49703-65367 INR,26-10-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Environment,10th Pass,25-39,3 years,Bhopal,38128-72692 INR,02-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Police Sub Inspector,Ministry of Agriculture,12th Pass,30-36,4 years,Bhopal,31299-78193 INR,15-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Public Prosecutor,Ministry of Agriculture,B.Tech,27-39,2 years,Guwahati,36146-62354 INR,20-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Home Affairs,Bachelor's Degree,29-36,2 years,Patna,35261-87949 INR,25-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Agricultural Officer,Ministry of Defense,B.Sc,22-38,4 years,Bhopal,34076-78552 INR,08-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Village Development Officer,Ministry of Finance,MBBS,27-39,0 years,Mumbai,38565-61376 INR,28-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Junior Translator,Ministry of Finance,MBBS,26-37,3 years,Jaipur,38314-74043 INR,02-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Scientist B,Ministry of Science and Technology,Bachelor's Degree,24-38,3 years,New Delhi,33424-86905 INR,10-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Home Affairs,Master's Degree,25-35,5 years,Kolkata,37719-84922 INR,31-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Lab Assistant,Ministry of Railways,10th Pass,28-36,3 years,Kolkata,35928-61356 INR,27-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Scientist B,Ministry of Finance,B.Tech,27-35,0 years,Kolkata,33712-63918 INR,22-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Stenographer,Ministry of Railways,M.Sc,22-36,4 years,Hyderabad,49885-79749 INR,06-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Assistant,Ministry of Defense,M.Sc,23-38,4 years,Mumbai,30611-72131 INR,20-10-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IAS Officer,Ministry of Rural Development,B.Com,30-39,5 years,Ahmedabad,32089-88806 INR,20-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
UPSC NDA,Ministry of Rural Development,M.Tech,23-38,4 years,Ranchi,31193-86201 INR,02-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Teacher,Ministry of Rural Development,Bachelor's Degree,26-38,4 years,Patna,46073-63490 INR,17-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Stenographer,Ministry of Railways,B.Tech,28-37,1 years,Mumbai,32736-73910 INR,23-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Science and Technology,12th Pass,23-39,2 years,Hyderabad,47166-63581 INR,11-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Postman,Ministry of Home Affairs,B.Com,23-35,1 years,Jaipur,30222-83062 INR,15-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Defense Officer,Ministry of Environment,M.Tech,24-39,0 years,Pune,39062-72797 INR,28-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Fireman,Ministry of Agriculture,PhD,25-37,3 years,Bangalore,49039-66347 INR,12-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Agricultural Officer,Ministry of Finance,Master's Degree,30-40,3 years,Ahmedabad,32177-69849 INR,11-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Rural Development,Bachelor's Degree,22-37,3 years,Jaipur,48739-73649 INR,19-11-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
IPS Officer,Ministry of Environment,Bachelor's Degree,24-37,1 years,Chandigarh,37606-76710 INR,05-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Nurse,Ministry of Home Affairs,B.Com,25-39,1 years,Hyderabad,48381-88608 INR,05-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
IRS Officer,Ministry of Environment,12th Pass,27-36,4 years,Hyderabad,33309-74270 INR,24-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Clerk,Ministry of Defense,MBBS,25-38,0 years,Jaipur,42344-72992 INR,15-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Librarian,Ministry of Finance,10th Pass,26-35,5 years,Pune,41738-69543 INR,25-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Public Prosecutor,Ministry of Environment,10th Pass,27-37,4 years,Patna,38099-69157 INR,24-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Police Sub Inspector,Ministry of Rural Development,12th Pass,30-35,5 years,Mumbai,43769-78703 INR,16-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Clerk,Ministry of Railways,Diploma,30-39,5 years,Chennai,38125-74501 INR,12-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
SSC CGL Officer,Ministry of Environment,Bachelor's Degree,26-39,3 years,New Delhi,36259-60604 INR,03-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IRS Officer,Ministry of Science and Technology,B.Sc,25-40,4 years,Hyderabad,44714-78017 INR,21-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Forest Officer,Ministry of Home Affairs,B.Sc,21-38,5 years,Ahmedabad,46336-69055 INR,08-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Engineer,Ministry of Health,10th Pass,26-35,4 years,Bhopal,34819-64948 INR,01-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Bank PO,Ministry of Rural Development,Bachelor's Degree,29-40,0 years,Chennai,35722-74852 INR,26-11-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Rural Development,M.Sc,23-39,3 years,Hyderabad,40439-64319 INR,05-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Health,B.Sc,23-35,4 years,Bangalore,41200-64799 INR,11-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Engineer,Ministry of Health,B.Com,24-37,5 years,Patna,48646-76598 INR,25-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Health,B.Tech,27-37,3 years,New Delhi,42174-87306 INR,11-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Nurse,Ministry of Education,M.Sc,26-39,2 years,Ahmedabad,40001-85520 INR,23-11-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
IPS Officer,Ministry of Defense,M.Tech,26-36,4 years,Kolkata,33717-68736 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
UPSC NDA,Ministry of Agriculture,12th Pass,21-39,0 years,Hyderabad,38147-70502 INR,04-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Data Entry Operator,Ministry of Defense,PhD,25-35,4 years,Guwahati,46102-87323 INR,13-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Railway Engineer,Ministry of Rural Development,PhD,24-39,4 years,Patna,41548-60625 INR,18-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Forest Officer,Ministry of Health,Bachelor's Degree,27-39,4 years,Bhopal,48944-74759 INR,09-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Agriculture,B.Com,26-39,2 years,Bangalore,40538-78603 INR,08-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Health,Diploma,24-38,4 years,Jaipur,36323-70710 INR,10-09-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Health,Diploma,28-35,0 years,Chandigarh,33701-80505 INR,06-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Data Entry Operator,Ministry of Agriculture,Diploma,25-36,4 years,Kolkata,32583-80509 INR,04-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Data Entry Operator,Ministry of Railways,Bachelor's Degree,27-36,3 years,Chennai,44193-87976 INR,27-09-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Home Affairs,B.Sc,22-39,1 years,Pune,43449-64905 INR,01-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Clerk,Ministry of Education,Bachelor's Degree,29-38,5 years,Chandigarh,34584-68331 INR,09-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Gram Sevak,Ministry of Health,Diploma,25-38,4 years,Chandigarh,47218-73496 INR,23-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Defense Officer,Ministry of Finance,M.Sc,30-37,2 years,Patna,44196-88926 INR,13-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Assistant Engineer,Ministry of Environment,PhD,24-39,1 years,Hyderabad,42658-69588 INR,13-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Data Entry Operator,Ministry of Home Affairs,M.Tech,25-39,5 years,Mumbai,43238-71421 INR,17-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Agricultural Officer,Ministry of Science and Technology,M.Tech,22-39,5 years,New Delhi,45590-80914 INR,29-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Railways,Diploma,24-40,4 years,Chandigarh,39864-73140 INR,30-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Gram Sevak,Ministry of Rural Development,Master's Degree,30-40,5 years,Bhopal,40377-74729 INR,22-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Village Development Officer,Ministry of Science and Technology,10th Pass,23-39,2 years,Chennai,46619-60452 INR,26-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
IFS Officer,Ministry of Finance,Bachelor's Degree,29-37,3 years,Bangalore,46771-62208 INR,14-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Librarian,Ministry of Agriculture,B.Com,25-36,3 years,Ranchi,37942-74957 INR,30-09-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
IPS Officer,Ministry of Defense,M.Tech,27-36,3 years,New Delhi,37229-79268 INR,14-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Lecturer,Ministry of Agriculture,Diploma,29-36,4 years,Pune,32781-79579 INR,18-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Village Development Officer,Ministry of Health,B.Tech,25-35,2 years,Hyderabad,45807-60477 INR,16-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Nurse,Ministry of Defense,12th Pass,27-35,2 years,Hyderabad,39484-60052 INR,10-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Junior Translator,Ministry of Finance,10th Pass,23-40,3 years,Pune,36383-73360 INR,11-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Accountant,Ministry of Agriculture,MBBS,28-37,4 years,Jaipur,38130-66539 INR,07-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IFS Officer,Ministry of Agriculture,Bachelor's Degree,24-40,1 years,Ranchi,42949-74642 INR,05-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Defense Officer,Ministry of Science and Technology,Diploma,21-37,5 years,Pune,44987-86164 INR,02-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Veterinary Doctor,Ministry of Health,B.Tech,22-36,5 years,Guwahati,35390-66972 INR,11-09-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IRS Officer,Ministry of Home Affairs,B.Com,22-35,4 years,Ranchi,42461-89647 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Gram Sevak,Ministry of Rural Development,B.Tech,25-35,5 years,Chandigarh,43211-82874 INR,15-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Railways,B.Com,25-37,3 years,Kolkata,30721-86151 INR,18-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Defense Officer,Ministry of Defense,B.Tech,25-35,5 years,Lucknow,40482-89599 INR,05-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Railways,PhD,28-40,1 years,Jaipur,45627-70142 INR,22-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Senior Resident,Ministry of Rural Development,12th Pass,29-38,4 years,Lucknow,45608-76165 INR,24-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Railways,B.Tech,22-36,4 years,Chandigarh,37753-75501 INR,14-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Railway Engineer,Ministry of Railways,B.Sc,21-38,3 years,Bangalore,35257-60976 INR,10-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Junior Translator,Ministry of Education,B.Com,29-39,1 years,Bhopal,43431-75123 INR,20-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Medical Officer,Ministry of Home Affairs,B.Com,24-40,1 years,Bhopal,45733-68542 INR,14-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Education,B.Sc,21-38,3 years,Guwahati,48665-75254 INR,29-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Railway Engineer,Ministry of Defense,Master's Degree,27-35,4 years,New Delhi,45620-61756 INR,10-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Health,M.Tech,27-38,2 years,Bangalore,30194-66540 INR,25-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Accountant,Ministry of Health,M.Tech,21-39,5 years,Chennai,37322-66290 INR,03-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Health,B.Com,21-37,3 years,Lucknow,38213-71704 INR,21-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Gram Sevak,Ministry of Defense,Master's Degree,27-40,5 years,Guwahati,47317-78794 INR,18-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Lecturer,Ministry of Home Affairs,B.Tech,30-36,0 years,Chennai,36620-83481 INR,04-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Bank PO,Ministry of Finance,PhD,29-38,0 years,Ranchi,44212-89289 INR,13-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Senior Resident,Ministry of Environment,B.Sc,25-37,1 years,Hyderabad,42520-79675 INR,13-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Data Entry Operator,Ministry of Health,12th Pass,27-39,2 years,Ahmedabad,39035-61421 INR,28-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Scientist B,Ministry of Rural Development,PhD,23-39,1 years,Jaipur,36121-75899 INR,30-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Veterinary Doctor,Ministry of Health,12th Pass,29-38,5 years,Chennai,36504-73606 INR,08-10-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Agriculture,M.Tech,27-37,0 years,Mumbai,34436-61978 INR,15-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Medical Officer,Ministry of Health,M.Sc,25-39,5 years,Lucknow,44890-74226 INR,11-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Electrician,Ministry of Home Affairs,PhD,21-36,5 years,Patna,37951-68365 INR,01-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
IAS Officer,Ministry of Railways,12th Pass,26-37,2 years,Bhopal,45324-70121 INR,05-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Data Entry Operator,Ministry of Science and Technology,PhD,28-35,5 years,Ranchi,31937-64283 INR,31-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Bank PO,Ministry of Environment,M.Tech,22-36,3 years,Ranchi,39324-61917 INR,24-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Environment,Diploma,24-40,2 years,Patna,40714-74037 INR,01-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Translator,Ministry of Defense,Bachelor's Degree,21-35,0 years,Jaipur,39624-68963 INR,19-09-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Data Entry Operator,Ministry of Agriculture,Bachelor's Degree,27-39,1 years,Kolkata,30407-67389 INR,08-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IFS Officer,Ministry of Rural Development,B.Sc,26-37,1 years,Bangalore,30371-83375 INR,06-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Assistant Professor,Ministry of Education,M.Sc,27-36,4 years,New Delhi,49949-83015 INR,21-10-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Engineer,Ministry of Rural Development,12th Pass,21-35,4 years,Ranchi,46009-65418 INR,05-11-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Environment,Master's Degree,25-39,3 years,Jaipur,31564-64857 INR,14-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Electrician,Ministry of Home Affairs,MBBS,21-39,3 years,Chandigarh,45836-79488 INR,08-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Driver,Ministry of Health,12th Pass,30-37,2 years,Jaipur,47962-62290 INR,01-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Pharmacist,Ministry of Rural Development,B.Tech,30-38,2 years,Ranchi,35414-79861 INR,11-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Professor,Ministry of Rural Development,Bachelor's Degree,28-36,0 years,Patna,36930-66432 INR,28-09-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Stenographer,Ministry of Defense,B.Com,29-40,1 years,Ranchi,38460-73657 INR,22-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Accountant,Ministry of Defense,MBBS,23-36,0 years,Ahmedabad,47134-79378 INR,07-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Engineer,Ministry of Health,PhD,29-36,4 years,Chandigarh,48368-80833 INR,11-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Education,B.Com,29-35,2 years,Patna,37414-89429 INR,13-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Junior Translator,Ministry of Rural Development,M.Tech,22-36,0 years,Hyderabad,46602-88448 INR,29-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Finance,12th Pass,25-35,1 years,Jaipur,44379-78648 INR,01-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Pharmacist,Ministry of Home Affairs,M.Sc,25-40,0 years,Ahmedabad,30298-70542 INR,01-10-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IAS Officer,Ministry of Rural Development,Master's Degree,24-36,1 years,Mumbai,41612-68724 INR,17-09-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Clerk,Ministry of Education,B.Com,27-40,0 years,Bangalore,32926-87762 INR,16-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Nurse,Ministry of Rural Development,Bachelor's Degree,21-35,2 years,Kolkata,44528-66318 INR,29-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
IFS Officer,Ministry of Agriculture,12th Pass,27-38,5 years,Bhopal,43787-89980 INR,13-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Scientist B,Ministry of Defense,B.Sc,25-36,5 years,Pune,46631-63653 INR,03-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Nurse,Ministry of Science and Technology,B.Com,30-35,1 years,Guwahati,33452-74344 INR,11-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Defense Officer,Ministry of Home Affairs,M.Sc,29-39,3 years,Chennai,45676-85348 INR,03-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Engineer,Ministry of Science and Technology,10th Pass,23-40,5 years,Ranchi,38774-85211 INR,14-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Teacher,Ministry of Science and Technology,PhD,25-35,5 years,Chennai,33648-68767 INR,02-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Medical Officer,Ministry of Education,PhD,27-37,0 years,Ahmedabad,35332-81877 INR,24-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Veterinary Doctor,Ministry of Health,Master's Degree,29-40,0 years,Guwahati,41225-87022 INR,19-09-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Translator,Ministry of Agriculture,Bachelor's Degree,29-35,1 years,Bhopal,41880-82003 INR,14-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Nurse,Ministry of Home Affairs,Diploma,21-35,5 years,Chandigarh,48677-63478 INR,05-11-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Data Entry Operator,Ministry of Finance,B.Com,24-35,1 years,Bangalore,34648-87239 INR,10-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Defense Officer,Ministry of Defense,10th Pass,21-37,3 years,Mumbai,33476-67870 INR,07-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Mechanic,Ministry of Home Affairs,M.Sc,24-40,3 years,Chennai,46821-78333 INR,03-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Home Affairs,B.Sc,28-39,0 years,Patna,36873-80988 INR,16-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Accountant,Ministry of Environment,B.Com,26-36,4 years,Bhopal,31109-60011 INR,18-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Agricultural Officer,Ministry of Defense,B.Sc,25-40,0 years,Pune,42500-73384 INR,23-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Railways,M.Tech,25-37,4 years,Lucknow,30225-75961 INR,23-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IFS Officer,Ministry of Finance,M.Tech,23-40,5 years,Kolkata,31688-62653 INR,03-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Public Prosecutor,Ministry of Finance,PhD,22-36,4 years,Ranchi,46328-61162 INR,06-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Agriculture,B.Sc,27-38,0 years,Guwahati,45258-68722 INR,16-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Stenographer,Ministry of Finance,10th Pass,21-37,0 years,Jaipur,39942-72334 INR,01-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
